total_qs,total_qs_addition,total_qs_substraction,total_qs_multipication,total_answer_right_addition,total_answer_right_subtraction,total_answer_right_multplication,recommend
15,5,5,5,2,4,1,Multiplication
15,5,5,5,2,4,1,Multiplication
15,5,5,5,2,4,1,Multiplication
15,5,5,5,2,4,1,Multiplication
15,5,5,5,2,4,1,Multiplication
15,5,5,5,2,4,1,Multiplication
15,5,5,5,2,4,1,Multiplication
15,5,5,5,2,4,1,Multiplication
15,5,5,5,2,4,1,Multiplication
15,5,5,5,0,4,1,Addition
15,5,5,5,0,4,1,Addition
15,5,5,5,0,4,1,Addition
15,5,5,5,0,4,1,Addition
15,5,5,5,0,4,1,Addition
15,5,5,5,0,4,1,Addition
15,5,5,5,0,4,1,Addition
15,5,5,5,3,0,1,Subtraction
15,5,5,5,3,0,5,Subtraction
15,5,5,5,3,0,5,Subtraction
15,5,5,5,3,0,5,Subtraction
15,5,5,5,3,0,5,Subtraction
15,5,5,5,3,0,5,Subtraction
15,5,5,5,3,0,5,Subtraction
15,5,5,5,3,0,5,Subtraction
15,5,5,5,3,0,5,Subtraction
